kVK_Return	ENTER
kVK_Tab	TAB
kVK_Space	SPACE
kVK_Delete	BACKSPACE
kVK_ForwardDelete	DEL
kVK_Escape	ESCAPE
kVK_Home	HOME
kVK_PageUp	PAGE_UP
kVK_PageDown	PAGE_DOWN
kVK_End	END
kVK_LeftArrow	LEFT
kVK_RightArrow	RIGHT
kVK_DownArrow	DOWN
kVK_UpArrow	UP
kVK_F1	F1
kVK_F2	F2
kVK_F3	F3
kVK_F4	F4
kVK_F5	F5
kVK_F6	F6
kVK_F7	F7
kVK_F8	F8
kVK_F9	F9
kVK_F10	F10
kVK_F11	F11
kVK_F12	F12
kVK_F13	F13
kVK_F14	F14
kVK_F15	F15
kVK_F16	F16
kVK_F17	F17
kVK_F18	F18
kVK_F19	F19
kVK_F20	F20
KeypadDecimal	DECIMAL
KeypadMultiply	MULTIPLY
KeypadPlus	ADD
KeypadDivide	DIVIDE
KeypadEnter	SEPARATOR
KeypadMinus	SUBTRACT
KeypadEquals	EQUALS
Keypad0	NUMPAD0
Keypad1	NUMPAD1
Keypad2	NUMPAD2
Keypad3	NUMPAD3
Keypad4	NUMPAD4
Keypad5	NUMPAD5
Keypad6	NUMPAD6
Keypad7	NUMPAD7
Keypad8	NUMPAD8
Keypad9	NUMPAD9
kVK_JIS_Eisu	OFF
kVK_JIS_Kana	ON
kVK_JIS_KeypadComma	COMMA
